trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
,,,,,,,,,,,,,-0.35138888888888886,0.4981481481481482,0,0,0,None,None,,,,,,,,,,,,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,88.5258716000244,None,91.51897620002273,None,space,1.7743561000097543,91.51897620002273,None,4,93.32583130005514,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,95.33464650000678,None,space,0.3451784999924712,95.33464650000678,None,1,95.70903870003531,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,98.73383820004528,None,space,0.24760990001959726,98.73383820004528,None,1,99.00892110000132,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,100.01794180000434,None,space,0.6377356000011787,100.01794180000434,None,4,100.69218640000327,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,102.70899640000425,None,space,0.10356369998771697,102.70899640000425,None,3,102.85899010003777,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,103.86869520001346,103.86869520001346,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,104.89236610004446,None,107.891929000034,None,space,2.04451410000911,107.891929000034,None,3,109.97511510003824,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,112.00090120005189,None,space,0.8319512999732979,112.00090120005189,None,2,112.87496929999907,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,113.88384310004767,None,space,0.38940220000222325,113.88384310004767,None,1,114.30069040000672,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,118.3084957000101,None,space,0.5993337000254542,118.3084957000101,None,4,118.93313720001606,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,119.93376820004778,None,space,0.07079549995251,119.93376820004778,None,4,120.03285970003344,None,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,123.05013119999785,123.05013119999785,001,,2022_Jan_20_1612,FingTap,2021.2.3,None,
