trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
,,,,,,,,,,,,,-0.346875,0.4775,0,0,0,None,None,,,,,,,,,,,,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,20.51865490002092,None,23.508437800046522,None,space,1.0737071000039577,23.508437800046522,None,4,24.608130800013896,None,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,25.6081771000172,None,space,0.6137672999757342,25.6081771000172,None,2,26.241477500007022,None,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,28.25701670005219,None,space,3.8930739000206813,28.25701670005219,None,4,32.172661400050856,None,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,33.17830870003672,None,space,0.444129100011196,33.17830870003672,None,4,33.71946920000482,None,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,34.7237592000165,None,None,,34.7237592000165,None,3,39.72348140005488,None,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,40.72351700003492,40.72351700003492,001,,2022_Jan_19_1222,FingTap,2021.2.3,59.984727883721675,
