trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
,,,,,,,,,,,,,-0.11944444444444445,0.17037037037037037,0,0,0,None,None,,,,,,,,,,,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,61.38936739999917,None,64.45928780001123,None,None,64.45928780001123,None,1,69.3828952999902,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,71.38258480001241,None,None,71.38258480001241,None,3,76.38270049999119,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,77.3836275000067,None,None,77.3836275000067,None,3,82.38270809999085,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,84.38315450001392,None,None,84.38315450001392,None,3,89.38303910000832,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,93.38299809998716,None,None,93.38299809998716,None,4,98.38312879999285,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,102.38357589999214,102.38357589999214,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,104.38338730001124,None,107.38357989999349,None,None,107.38357989999349,None,4,112.38335859999643,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,114.38327849999769,None,None,114.38327849999769,None,4,119.38365229999181,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,120.38337719999254,None,None,120.38337719999254,None,1,125.38343429999077,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,128.3833869000082,None,None,128.3833869000082,None,1,133.38344880001387,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,134.38368970001466,None,None,134.38368970001466,None,2,139.38363080000272,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,2,142.38361029999214,142.38361029999214,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,144.39053189998958,None,147.39072289998876,None,None,147.39072289998876,None,2,152.39078809999046,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,156.3907872000127,None,None,156.3907872000127,None,3,161.39137619998655,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,164.3913756000111,None,None,164.3913756000111,None,3,169.39258740001242,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,172.39837839998654,None,None,172.39837839998654,None,3,177.39846249998664,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,181.39809490001062,None,None,181.39809490001062,None,2,186.3981996999937,None,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,3,188.3983842000016,188.3983842000016,001,,2022_Jan_20_2054,FingTap,2021.2.3,143.96277700931637,
