trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,key_resp.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
,,,,,,,,,,,,,-0.0984375,0.0325,0,0,0,None,None,,,,,,,,,,,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,53.63939160000882,None,56.6466422000085,None,None,56.6466422000085,None,3,61.640539300002274,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,62.63993140000093,None,None,62.63993140000093,None,1,67.64046809999854,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,71.64136740000686,None,None,71.64136740000686,None,3,76.6472061000095,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,77.64686079999956,None,None,77.64686079999956,None,2,82.64778909999586,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,86.64740250000614,None,None,86.64740250000614,None,3,91.64695690000372,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,93.64741740000318,93.64741740000318,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,95.64739330000884,None,None,None,None,None,None,4,205.76024060000782,None,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,208.50387110000884,None,space,208.50387110000884,None,4,211.7459541999997,None,3.235490799997933,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,218.4544550999999,None,space,218.4544550999999,None,2,219.28175850000116,None,0.8138236999948276,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,221.28172710000945,None,space,221.28172710000945,None,1,221.78823629999533,None,0.4927334000094561,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,223.7896619999956,None,space,223.7896619999956,None,3,224.10769869999785,None,0.30467440000211354,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,4,226.11072350000904,226.11072350000904,,001,,2022_Jan_11_2252,FingTap,2021.2.3,143.83998089194378,
