trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,None,None,None,None,None,,,,,,,,001,,2022_Jan_20_1628,FingTap,2021.2.3,None,
,,,,,,,,,-0.1111111111111111,0.21481481481481482,0,0,0,None,None,001,,2022_Jan_20_1628,FingTap,2021.2.3,None,
