trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
,,,,,,,,,,,,,-0.34444444444444444,-0.35,0,0,0,None,None,,,,,,,,,,,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,341.9559043000045,None,344.94941090000793,None,None,344.94941090000793,None,3,349.9497677999898,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,353.95006880001165,None,None,353.95006880001165,None,4,358.94975440000417,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,362.95080409999355,None,None,362.95080409999355,None,4,367.9504148999986,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,371.9508365000074,None,None,371.9508365000074,None,2,376.9579264000058,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,377.95791490000556,None,None,377.95791490000556,None,2,382.96554350000224,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,383.96556240000064,383.96556240000064,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,385.994179900008,None,388.97811500000535,None,None,388.97811500000535,None,1,393.98212060000515,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,395.9862057999999,None,None,395.9862057999999,None,3,400.9873646000051,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,405.00153129998944,None,None,405.00153129998944,None,2,409.9998731999949,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,412.02829190000193,None,None,412.02829190000193,None,1,417.0208569999959,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,420.0300412999932,None,None,420.0300412999932,None,3,425.0373779000074,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,3,429.05875299999025,429.05875299999025,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,430.06944230000954,None,433.0699254999927,None,None,433.0699254999927,None,1,438.0918934000074,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,439.1000394000148,None,None,439.1000394000148,None,1,444.0986688999983,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,446.0981338999991,None,None,446.0981338999991,None,1,451.0983692999871,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,455.1010261999909,None,None,455.1010261999909,None,2,460.10566289999406,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,464.1067755999975,None,None,464.1067755999975,None,4,469.1123457000067,None,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,1,471.1123183000018,471.1123183000018,001,,2022_Jan_20_2059,FingTap,2021.2.3,143.65463130749566,
