trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
,,,,,,,,,,,,,0.42083333333333334,0.3425925925925926,0,0,0,None,None,,,,,,,,,,,,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,63.18532059999416,None,66.23550040001282,None,space,0.5844052999746054,66.23550040001282,None,4,66.88536670000758,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,70.93516900000395,None,space,0.31681940000271425,70.93516900000395,None,4,71.33511980000185,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,72.38507530000061,None,space,0.4268327999743633,72.38507530000061,None,4,72.88509560003877,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,73.93512320000445,None,space,0.3568418000359088,73.93512320000445,None,3,74.38496699999087,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,77.43487530003767,None,space,0.3609480999875814,77.43487530003767,None,4,77.88487820001319,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,78.8904421000043,78.8904421000043,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,82.90594830003101,None,85.90583290002542,None,space,0.49795190000440925,85.90583290002542,None,2,86.4231826000032,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,89.42295530001866,None,space,0.31688920001033694,89.42295530001866,None,3,89.75632500002393,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,91.75620160001563,None,space,0.40764029999263585,91.75620160001563,None,2,92.18953249999322,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,93.18944790004753,None,space,0.5023634000099264,93.18944790004753,None,1,93.722811500018,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,96.7226966000162,None,space,0.3531341000343673,96.7226966000162,None,2,97.10532890004106,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,101.10509140003705,101.10509140003705,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
