Prompt
coffee
gift
slipper
stone
meat
city
paper
diamond
palace
tablespoon
college
umbrella
railway
popcorn
dog
bicycle
cat
ticket
nail
hammer
wine
coin
decoration
lecture
grass
street
potato
butterfly
kitchen
sea
refrigerator
arm
market
table
oven
picture
