,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,10,17  +  9,0,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1,15.0,15.028249299997697,16.472516599998926,17.93207789999724,None,False,None
1,75,16  +  6,3,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2,18.0,18.001636699998926,19.452276800002437,20.910362200003874,None,False,None
2,26,16  +  5,6,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,21.0,21.0029641000001,22.453183700003137,23.91058399999747,None,False,None
3,52,12  +  9,9,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1,24.0,24.00140719999763,25.462086100000306,26.919217100003152,None,False,None
4,39,13  +  8,12,1.45,130.45,21        23,130.45,1.45,131.9, ,131.9,132,0.1,1,27.0,26.995564299999387,28.446296000001894,29.903207800001837,None,False,None
5,72,18  +  7,15,1.45,259.45,25        23,259.45,1.45,260.9, ,260.9,261,0.1,1,30.0,29.993907399999443,31.437878299999284,32.898326599999564,None,False,None
6,11,16  +  7,18,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,33.0,32.996301300001505,34.44517620000261,35.90429890000087,None,False,None
7,15,17  +  4,21,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,36.0,35.993899000000965,37.43841170000087,38.89702499999839,None,False,None
8,28,19  +  2,24,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1,39.0,38.99460220000037,40.43839149999985,41.89687660000345,None,False,None
9,41,19  +  9,27,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2,42.0,41.993853100000706,43.43922210000164,44.89710390000255,None,False,None
10,65,16  +  6,30,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,45.0,44.99424639999779,46.4384304999985,47.89777719999984,None,False,None
11,59,19  +  5,33,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,48.0,47.9939147000041,49.43928170000436,50.896908800001256,None,False,None
12,74,19  +  3,36,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1,51.0,50.99414880000404,52.43837870000425,53.89708110000356,None,False,None
13,33,18  +  6,39,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1,54.0,53.99431270000059,55.44040420000238,56.89880780000385,None,False,None
14,38,19  +  8,42,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,57.0,56.99422339999728,58.43962679999822,59.89654750000045,None,False,None
15,1,14  +  7,45,1.45,1.45,23        21,1.45,1.45,2.9, ,2.9,3,0.1,2,60.0,59.99380950000341,61.438399700004084,62.89659430000029,None,False,None
16,53,14  +  8,48,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2,63.0,62.993721700004244,64.43864620000386,65.89692500000092,None,False,None
17,27,18  +  7,51,1.45,94.45,27        25,94.45,1.45,95.9, ,95.9,96,0.1,2,66.0,65.9945086000007,67.43882309999753,68.89746320000268,None,False,None
18,29,19  +  6,54,1.45,100.45,25        23,100.45,1.45,101.9, ,101.9,102,0.1,1,69.0,68.99369390000356,70.4384607000029,71.89693740000075,None,False,None
19,21,18  +  3,57,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2,72.0,71.9940332000042,73.43879259999812,74.89683019999939,None,False,None
