,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,6,17  +  7,0,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1,15.0,15.041815900003712,16.493166699998255,18.467923000003793,1.9621387000006507,False,left
1,40,18  +  8,3,1.45,133.45,26        24,133.45,1.45,134.9, ,134.9,135,0.1,1,18.0,18.506817200002843,19.950956500004395,21.68087150000065,1.7213291999942157,False,right
2,61,19  +  3,6,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,21.0,21.70788629999879,23.152141600003233,24.603849300001457,1.3918923999954131,False,left
3,36,15  +  8,9,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2,24.0,24.62438000000111,26.069317200002843,27.52102659999946,1.0860806999990018,False,right
4,51,18  +  6,12,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,27.0,27.54838590000145,28.992711099999724,30.444077600004675,0.5685064999997849,False,left
5,64,17  +  9,15,1.45,235.45,24        26,235.45,1.45,236.9, ,236.9,237,0.1,2,30.0,30.464946600004623,31.90965359999973,33.36081070000364,1.0144637000048533,False,right
6,33,18  +  6,18,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1,33.0,33.381803399999626,34.82605090000288,36.277951900003245,0.6642559999963851,False,left
7,34,18  +  8,21,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,36.0,36.298390500000096,37.74266910000006,39.632573000002594,1.8825390999991214,False,left
8,59,19  +  5,24,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,39.0,39.65987989999849,41.10421669999778,42.96639829999913,1.853416500001913,False,right
9,5,16  +  9,27,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2,42.0,42.993512799999735,44.437472999998135,48.222217499998806,3.778166500000225,False,right
