,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,26,16  +  5,0,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,15.0,15.023434999995516,16.47395069999766,17.93165069999668,None,False,None
1,57,16  +  9,3,1.45,199.45,23        25,199.45,1.45,200.9, ,200.9,201,0.1,2,18.0,17.995103799999924,19.445725099998526,20.903269499998714,None,False,None
2,61,19  +  3,6,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,21.0,20.99353909999627,22.43896390000009,23.896701999998186,None,False,None
3,41,19  +  9,9,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2,24.0,23.99414949999482,25.437892099995224,26.896571099998255,None,False,None
4,22,19  +  6,12,1.45,79.45,25        23,79.45,1.45,80.9, ,80.9,81,0.1,1,27.0,26.99364079999941,28.438450399997237,29.896436499999254,None,False,None
5,51,18  +  6,15,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,30.0,29.993653199999244,31.438636799997767,32.89698040000076,None,False,None
6,37,17  +  6,18,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,33.0,32.993686199995864,34.44490550000046,35.88974199999939,0.3634493999998085,False,left
7,65,16  +  6,21,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,36.0,35.99369149999984,37.43804570000066,38.88968490000116,0.6737738999945577,False,right
8,31,17  +  6,24,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,1,39.0,38.99390729999868,40.445716899994295,41.892453199994634,0.42185710000194376,False,left
9,44,18  +  5,27,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2,42.0,41.994623099999444,43.43893989999924,44.898385899999994,None,False,None
10,77,18  +  3,30,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,2,45.0,44.995230199994694,46.44621249999909,47.90483669999958,None,False,None
11,75,16  +  6,33,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2,48.0,47.99525849999918,49.439134399995964,50.89757339999778,None,False,None
12,16,17  +  9,36,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1,51.0,50.99459149999893,52.43877989999601,53.89727989999665,None,False,None
13,15,17  +  4,39,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,54.0,53.99481669999659,55.43903549999959,56.897478499995486,None,False,None
14,36,15  +  8,42,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2,57.0,56.994594199997664,58.438985000000685,59.898499099996116,None,False,None
15,45,15  +  9,45,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1,60.0,59.99647239999467,61.447155299996666,62.904234999994515,None,False,None
16,35,18  +  5,48,1.45,118.45,25        23,118.45,1.45,119.9, ,119.9,120,0.1,2,63.0,62.995237299997825,64.4396573999984,65.8977081999983,None,False,None
17,80,18  +  4,51,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1,66.0,65.99485849999473,67.43948939999973,68.89797510000062,None,False,None
18,20,17  +  8,54,1.45,58.45,25        23,58.45,1.45,59.9, ,59.9,60,0.1,1,69.0,68.99552669999684,70.43993999999657,71.89776599999459,None,False,None
19,5,16  +  9,57,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2,72.0,71.99571459999424,73.44779879999987,74.91243119999854,None,False,None
