,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,62,14  +  9,0,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,left,15.0,6.000924899999518,7.460866900000838,9.375852800003486,1.900273899998865,True,left
1,33,18  +  6,3,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,left,18.0,15.014836900001683,16.467050500003097,18.02854169999773,1.5493780999968294,True,left
2,38,19  +  8,6,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,right,21.0,18.048865000004298,19.493250100000296,20.94500960000005,0.7982224000006681,True,right
3,77,18  +  3,9,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,right,24.0,20.965774299998884,22.41071870000451,24.334872300001734,1.9096590999979526,False,left
4,48,17  +  4,12,1.45,172.45,23        21,172.45,1.45,173.9, ,173.9,174,0.1,right,27.0,24.354563599998073,25.79906650000339,27.78567650000332,1.9709192000009352,True,right
5,14,16  +  8,15,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,30.0,27.805926400003955,29.25048070000048,33.26535460000014,None,False,None
6,11,16  +  7,18,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,33.0,33.28595180000411,34.729833500001405,38.744745100004366,None,False,None
7,3,14  +  8,21,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1,36.0,38.76460550000047,40.208822400003555,44.223787800001446,None,False,None
8,21,18  +  3,24,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2,39.0,44.24487319999753,45.689262699997926,49.70244829999865,None,False,None
9,61,19  +  3,27,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,42.0,49.723281899998256,51.16758200000186,55.18238530000235,None,False,None
10,22,19  +  6,30,1.45,79.45,25        23,79.45,1.45,80.9, ,80.9,81,0.1,1,45.0,55.20263110000087,56.64751460000116,60.66192540000338,None,False,None
11,79,13  +  9,33,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,48.0,60.6816708999977,62.126139600004535,66.14065480000136,None,False,None
12,36,15  +  8,36,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2,51.0,66.16110940000362,67.60583890000271,71.61963710000418,None,False,None
