,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,38,19  +  8,0,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,15.0,15.027736899995944,16.471504900000582,17.93019849999837,None,False,None
1,5,16  +  9,3,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2,18.0,18.000108000000182,19.444620000002033,20.902674700002535,None,False,None
2,45,15  +  9,6,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1,21.0,21.00054110000201,22.44418389999919,23.90275190000102,None,False,None
3,20,17  +  8,9,1.45,58.45,25        23,58.45,1.45,59.9, ,59.9,60,0.1,1,24.0,23.999907400000666,25.444954799997504,26.90308340000047,None,False,None
4,3,14  +  8,12,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1,27.0,27.000352600000042,28.444169199996395,29.90312869999616,None,False,None
5,37,17  +  6,15,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,30.0,30.00035729999945,31.44424479999725,32.902354599995306,None,False,None
6,79,13  +  9,18,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,33.0,33.000499499998114,34.446321999996144,35.9031673999998,None,False,None
7,51,18  +  6,21,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,36.0,36.00002169999789,37.44478820000222,38.90256199999567,None,False,None
8,26,16  +  5,24,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,39.0,39.00046979999752,40.444183200001135,41.90322939999896,None,False,None
9,6,17  +  7,27,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1,42.0,41.99984459999541,43.444223300000886,44.90273029999662,None,False,None
10,62,14  +  9,30,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,45.0,44.999902499999735,46.444265500002075,47.90297660000215,None,False,None
11,21,18  +  3,33,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2,48.0,48.00009719999798,49.44442179999896,50.902721099999326,None,False,None
12,36,15  +  8,36,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2,51.0,51.000047800000175,52.4443695000009,53.9031066000025,None,False,None
13,78,17  +  7,39,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2,54.0,54.00011660000018,55.444234000002325,56.90291630000138,None,False,None
14,11,16  +  7,42,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,57.0,57.00000259999797,58.444444799999474,59.90265240000008,None,False,None
15,33,18  +  6,45,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1,60.0,60.00033809999877,61.44443009999668,62.90419970000221,None,False,None
16,57,16  +  9,48,1.45,199.45,23        25,199.45,1.45,200.9, ,200.9,201,0.1,2,63.0,62.99327639999683,64.43754669999907,65.89594609999767,None,False,None
17,10,17  +  9,51,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1,66.0,65.99315129999741,67.43773189999774,68.8960756000015,None,False,None
18,77,18  +  3,54,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,2,69.0,68.99390590000257,70.43756629999552,71.89605019999726,None,False,None
19,18,19  +  4,57,1.45,52.45,23        25,52.45,1.45,53.9, ,53.9,54,0.1,1,72.0,71.99314729999605,73.43774729999859,74.8960975000009,None,False,None
