,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,36,15  +  8,0,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,right,15.0,2.0348496999940835,3.4793992999912007,4.930963699996937,1.1186291000049096,False,left
1,23,14  +  9,3,1.45,82.45,21        23,82.45,1.45,83.9, ,83.9,84,0.1,right,18.0,6.958488399992348,8.402764800004661,9.854255700003705,0.8412505999876885,True,right
2,38,19  +  8,6,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,21.0,11.890435199995409,13.341743099997984,17.354712200001813,None,False,None
3,74,19  +  3,9,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1,24.0,19.39627450000262,20.840806399995927,24.855031899991445,None,False,None
4,37,17  +  6,12,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,27.0,26.88229280000087,28.328309999997145,32.3409793000028,None,False,None
5,61,19  +  3,15,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,30.0,34.3687712999963,35.813117800003965,39.82702709999285,None,False,None
6,14,16  +  8,18,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,33.0,41.854669399996055,43.29973099999188,47.31343999999808,None,False,None
7,78,17  +  7,21,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2,36.0,49.34103709999181,50.78533840000455,54.79936099999759,None,False,None
8,75,16  +  6,24,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2,39.0,56.827164000002085,58.27231549999851,62.286048199996,None,False,None
9,45,15  +  9,27,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1,42.0,64.313501800003,65.75778149999678,69.77181150000251,None,False,None
