,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,74,19  +  3,0,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1,15.0,15.029883100003644,16.48098270000628,20.48639560000447,None,False,None
1,20,17  +  8,3,1.45,58.45,25        23,58.45,1.45,59.9, ,59.9,60,0.1,1,18.0,20.514416700003494,21.95877230000042,25.965974300001108,None,False,None
2,65,16  +  6,6,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,21.0,25.99364730000525,27.4392380000063,31.45808930000203,None,False,None
3,62,14  +  9,9,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,24.0,31.494356700000935,32.949642999999924,36.95945159999974,None,False,None
4,38,19  +  8,12,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,27.0,36.98799770000187,38.438573900006304,42.44523200000549,None,False,None
5,35,18  +  5,15,1.45,118.45,25        23,118.45,1.45,119.9, ,119.9,120,0.1,2,30.0,42.47310040000593,43.91761530000076,47.92431930000021,None,False,None
6,14,16  +  8,18,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,33.0,47.952112900005886,49.39727770000172,53.41532680000091,None,False,None
7,80,18  +  4,21,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1,36.0,53.47294520000287,54.922015800002555,58.931316300004255,None,False,None
8,3,14  +  8,24,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1,39.0,58.959540200004994,60.41072630000417,64.41794440000376,None,False,None
9,26,16  +  5,27,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,42.0,64.44563710000511,65.8897888000065,69.897512800002,None,False,None
10,11,16  +  7,30,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,45.0,69.92492360000324,71.3692211000016,75.37608990000444,None,False,None
11,61,19  +  3,33,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,48.0,75.40419580000162,76.8484180000014,80.8599347000054,None,False,None
12,31,17  +  6,36,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,1,51.0,80.92402420000144,82.3695910000024,86.37622860000556,None,False,None
