 
Runtime Mod,6
EXPERIMENT DATA:,Friend Task
Start Time,22.307066500012297
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,120.76046679998399
ESQ,10589.07665599999,,Other_response,5.0,Experience Sampling Questions,1,1989864,,Marker Started at 5,Friend Task
ESQ,10590.107582800003,,Distracting_response,9.0,Experience Sampling Questions,1,1989864,,Marker Started at 9,Friend Task
 
Runtime Mod,12
EXPERIMENT DATA:,Friend Task
Start Time,10590.127131899993
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,10695.423973099998
ESQ,10713.561478899996,,Self_response,9.0,Experience Sampling Questions,1,1989864,,Marker Started at 9,Friend Task
ESQ,10714.581554000004,,Absorption_response,8.0,Experience Sampling Questions,1,1989864,,Marker Started at 8,Friend Task
 
Runtime Mod,-9
EXPERIMENT DATA:,You Task
Start Time,10714.600771500001
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,10797.61116629999
ESQ,10925.133675399993,,Focus_response,9.0,Experience Sampling Questions,1,1989864,,Marker Started at 9,You Task
ESQ,10926.154730499984,,Emotion_response,7.0,Experience Sampling Questions,1,1989864,,Marker Started at 7,You Task
 
Runtime Mod,-10
EXPERIMENT DATA:,You Task
Start Time,10926.169996599987
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,11008.871605099994
ESQ,12312.416973799991,,Deliberate_response,6.0,Experience Sampling Questions,1,1989864,,Marker Started at 6,You Task
ESQ,12313.438937700004,,Absorption_response,10.0,Experience Sampling Questions,1,1989864,,Marker Started at 10,You Task
 
Runtime Mod,6
EXPERIMENT DATA:,Zero-Back Task
Start Time,12316.151828200003
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,12418.288869399985
ESQ,12671.283231799986,,Self_response,4.0,Experience Sampling Questions,1,1989864,,Marker Started at 4,Zero-Back Task
ESQ,12672.311232600012,,Deliberate_response,7.0,Experience Sampling Questions,1,1989864,,Marker Started at 7,Zero-Back Task
 
Runtime Mod,6
EXPERIMENT DATA:,Zero-Back Task
Start Time,12672.321237600001
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,12774.059017199994
ESQ,15331.615853399999,,Modality_response,2.0,Experience Sampling Questions,1,1989864,,Marker Started at 2,Zero-Back Task
ESQ,15332.642885799985,,Intrusive_response,7.0,Experience Sampling Questions,1,1989864,,Marker Started at 7,Zero-Back Task
 
Runtime Mod,10
EXPERIMENT DATA:,One-Back Task
Start Time,15332.6563494
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,15437.228521799989
ESQ,29344.438423199987,,Detailed_response,3.0,Experience Sampling Questions,1,1989864,,Marker Started at 3,One-Back Task
ESQ,29345.466430600005,,Knowledge_response,6.0,Experience Sampling Questions,1,1989864,,Marker Started at 6,One-Back Task
 
Runtime Mod,15
EXPERIMENT DATA:,One-Back Task
Start Time,29345.48305770001
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,29452.791882999998
ESQ,73901.63357949999,,Emotion_response,10.0,Experience Sampling Questions,1,1989864,,Marker Started at 10,One-Back Task
ESQ,73902.6546031,,Distracting_response,6.0,Experience Sampling Questions,1,1989864,,Marker Started at 6,One-Back Task
 
Runtime Mod,-8
EXPERIMENT DATA:,Movie Task
Start Time,73905.04366600001
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,74030.6758574
ESQ,74374.94286529999,,Deliberate_response,6.0,Experience Sampling Questions,1,1989864,,Marker Started at 6,Movie Task
