EXPERIMENT DATA:,You Task
Start Time,9.148902700049803
Self_Task_Start,9.83434500003932,,,,You Task,1,1051804,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,10.361075700027868
ESQ,10.851378800056409,,Past_start,,Experience Sampling Questions,1,1051804,,,You Task
ESQ,12.350671500025783,,Past_response,6.0,Experience Sampling Questions,1,1051804,,Marker Started at 6,You Task
ESQ,12.35094630002277,,Emotion_start,,Experience Sampling Questions,1,1051804,,,You Task
ESQ,13.689666900027078,,Emotion_response,5.0,Experience Sampling Questions,1,1051804,,Marker Started at 5,You Task
EXPERIMENT DATA:,You Task
Start Time,13.724754300026689
Self_Task_Start,14.289028600032907,,,,You Task,1,1051804,,,
Start_of_energetic,16.842499200021848,,,,You Task,1,1051804,,,
End_of_energetic,16.842499200021848,,,,You Task,1,1051804,left,,
Start_of_bashful,23.106131400039885,,,,You Task,1,1051804,,,
End_of_bashful,23.106131400039885,,,,You Task,1,1051804,left,,
Start_of_idealistic,25.88399300002493,,,,You Task,1,1051804,,,
End_of_idealistic,25.88399300002493,,,,You Task,1,1051804,left,,
Start_of_untidy ,28.55846740002744,,,,You Task,1,1051804,,,
End_of_untidy ,28.55846740002744,,,,You Task,1,1051804,left,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,29.225277200050186
ESQ,29.999838900053874,,Emotion_start,,Experience Sampling Questions,1,1051804,,,You Task
ESQ,31.697653400013223,,Emotion_response,7.0,Experience Sampling Questions,1,1051804,,Marker Started at 7,You Task
ESQ,31.69793970003957,,Problem_start,,Experience Sampling Questions,1,1051804,,,You Task
ESQ,33.035612800042145,,Problem_response,10.0,Experience Sampling Questions,1,1051804,,Marker Started at 10,You Task
EXPERIMENT DATA:,Friend Task
Start Time,33.07957400003215
Self_Task_Start,34.15102820005268,,,,Friend Task,1,1051804,,,
Start_of_impulsive,36.70350200001849,,,,Friend Task,1,1051804,,,
End_of_impulsive,36.70350200001849,,,,Friend Task,1,1051804,left,,
Start_of_clumsy,39.31508260004921,,,,Friend Task,1,1051804,,,
End_of_clumsy,39.31508260004921,,,,Friend Task,1,1051804,left,,
Start_of_cruel,42.00757390004583,,,,Friend Task,1,1051804,,,
End_of_cruel,42.00757390004583,,,,Friend Task,1,1051804,left,,
Start_of_broad-minded,44.66881630005082,,,,Friend Task,1,1051804,,,
End_of_broad-minded,44.66881630005082,,,,Friend Task,1,1051804,left,,
Start_of_observant,47.37053770001512,,,,Friend Task,1,1051804,,,
End_of_observant,47.37053770001512,,,,Friend Task,1,1051804,left,,
Start_of_relaxed,50.210896100034006,,,,Friend Task,1,1051804,,,
End_of_relaxed,50.210896100034006,,,,Friend Task,1,1051804,left,,
Start_of_emotional,52.90789670002414,,,,Friend Task,1,1051804,,,
End_of_emotional,52.90789670002414,,,,Friend Task,1,1051804,left,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,53.65010540001094
ESQ,54.600179700006265,,Future_start,,Experience Sampling Questions,1,1051804,,,Friend Task
ESQ,56.03062090004096,,Future_response,5.0,Experience Sampling Questions,1,1051804,,Marker Started at 5,Friend Task
ESQ,56.03095360001316,,Other_start,,Experience Sampling Questions,1,1051804,,,Friend Task
ESQ,57.30266230000416,,Other_response,8.0,Experience Sampling Questions,1,1051804,,Marker Started at 8,Friend Task
EXPERIMENT DATA:,Friend Task
Start Time,57.34106810000958
Self_Task_Start,58.629649300011806,,,,Friend Task,1,1051804,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,59.156398300023284
ESQ,59.83072120003635,,Detailed_start,,Experience Sampling Questions,1,1051804,,,Friend Task
ESQ,61.44066080002813,,Detailed_response,2.0,Experience Sampling Questions,1,1051804,,Marker Started at 2,Friend Task
ESQ,61.440944500034675,,Problem_start,,Experience Sampling Questions,1,1051804,,,Friend Task
ESQ,62.77969310001936,,Problem_response,6.0,Experience Sampling Questions,1,1051804,,Marker Started at 6,Friend Task
EXPERIMENT DATA:,One-Back Task
Start Time,65.56973020004807
0-Back Start,65.56977990001906,,,,One-Back Task,1,1051804,,,
NoGoStimulus Start,70.06218090001494,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,70.62169920001179,True,,,One-Back Task,1,1051804,None,OneBack,
NoGoStimulus Start,72.74391930003185,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,73.66477880004095,True,,,One-Back Task,1,1051804,None,OneBack,
NoGoStimulus Start,75.44998570001917,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,76.70491990004666,True,,,One-Back Task,1,1051804,None,OneBack,
NoGoStimulus Start,79.12346750003053,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,79.74652750004316,True,,,One-Back Task,1,1051804,None,OneBack,
NoGoStimulus Start,81.84406160004437,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,82.78160020004725,True,,,One-Back Task,1,1051804,None,OneBack,
NoGoStimulus Start,85.09395070001483,,,,One-Back Task,1,1051804,,OneBack,
NoGoStimulus End,85.81637070002034,True,,,One-Back Task,1,1051804,None,OneBack,
OneBackStimulus Start,87.0636573000229,,,,One-Back Task,1,1051804,,OneBack,
OneBackStimulus End,91.84468420001213,False,,,One-Back Task,1,1051804,None,OneBack,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,91.85625880002044
