EXPERIMENT DATA:,Movie Task
Start Time,18.042465500009712
Movie Task Start,18.04253009997774,,,,Movie Task,1,9453225,,,
Movie Init,18.694218799995724,,,,Movie Task,1,9453225,,,
Movie Start,18.69436179997865,,,,Movie Task,1,9453225,,,
Movie End,153.64391669997713,,,,Movie Task,1,9453225,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,153.67389869998442
ESQ,247.57695079996483,,Future_start,,Experience Sampling Questions,1,9453225,,,Movie Task
ESQ,249.02569480001694,,Future_response,7.0,Experience Sampling Questions,1,9453225,,Marker Started at 7,Movie Task
ESQ,249.02615240000887,,Deliberate_start,,Experience Sampling Questions,1,9453225,,,Movie Task
ESQ,250.05469919997267,,Deliberate_response,5.0,Experience Sampling Questions,1,9453225,,Marker Started at 5,Movie Task
EXPERIMENT DATA:,Movie Task
Start Time,250.06793590000598
Movie Task Start,250.0679934999789,,,,Movie Task,1,9453225,,,
Movie Init,250.7280423999764,,,,Movie Task,1,9453225,,,
Movie Start,250.72820660000434,,,,Movie Task,1,9453225,,,
Movie End,376.0112216999987,,,,Movie Task,1,9453225,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,376.04474939999636
ESQ,3599.490316500014,,Focus_start,,Experience Sampling Questions,1,9453225,,,Movie Task
ESQ,3601.8037661999697,,Focus_response,10.0,Experience Sampling Questions,1,9453225,,Marker Started at 10,Movie Task
ESQ,3601.804082399991,,Absorption_start,,Experience Sampling Questions,1,9453225,,,Movie Task
ESQ,3602.822733499983,,Absorption_response,3.0,Experience Sampling Questions,1,9453225,,Marker Started at 3,Movie Task
EXPERIMENT DATA:,Math Task
Start Time,3605.38283279998
Math Task Start,0.8690212999936193,,,,Math Task,1,9453225,,,
fixation cross,0.8796313999919221,,,,Math Task,1,9453225,,,
Math Trial Start,2.905907600012142,,,,Math Task,1,9453225,,,
Choice presented,2.91499980003573,,,,Math Task,1,9453225,,,
Choice made,5.822312200034503,,,,Math Task,1,9453225,,,
Math Trial End,5.822373300034087,False,,,Math Task,1,9453225,,,
Math Trial Start,7.84661700000288,,,,Math Task,1,9453225,,,
Choice presented,7.862729599990416,,,,Math Task,1,9453225,,,
Choice made,10.767006999987643,,,,Math Task,1,9453225,,,
Math Trial End,10.767054700001609,False,,,Math Task,1,9453225,,,
Math Trial Start,12.784813100006431,,,,Math Task,1,9453225,,,
Choice presented,12.789649799990002,,,,Math Task,1,9453225,,,
Choice made,15.699649500020314,,,,Math Task,1,9453225,,,
Math Trial End,15.699696200026665,False,,,Math Task,1,9453225,,,
Math Trial Start,17.714541600027587,,,,Math Task,1,9453225,,,
Choice presented,17.726865000033285,,,,Math Task,1,9453225,,,
Choice made,20.628208600042854,,,,Math Task,1,9453225,,,
Math Trial End,20.628282100020442,False,,,Math Task,1,9453225,,,
Math Trial Start,22.643396000028588,,,,Math Task,1,9453225,,,
Choice presented,22.652461000019684,,,,Math Task,1,9453225,,,
Choice made,25.559146100014914,,,,Math Task,1,9453225,,,
Math Trial End,25.55918770004064,False,,,Math Task,1,9453225,,,
Math Trial Start,27.57745470001828,,,,Math Task,1,9453225,,,
Choice presented,27.582007099990733,,,,Math Task,1,9453225,,,
Choice made,30.48332310002297,,,,Math Task,1,9453225,,,
Math Trial End,30.48338390002027,False,,,Math Task,1,9453225,,,
Math Trial Start,32.49936210003216,,,,Math Task,1,9453225,,,
Choice presented,32.51042559999041,,,,Math Task,1,9453225,,,
Choice made,35.41493199998513,,,,Math Task,1,9453225,,,
Math Trial End,35.41499680001289,False,,,Math Task,1,9453225,,,
Math Trial Start,37.43523530004313,,,,Math Task,1,9453225,,,
Choice presented,37.44350500003202,,,,Math Task,1,9453225,,,
Choice made,40.35043600003701,,,,Math Task,1,9453225,,,
Math Trial End,40.35048060002737,False,,,Math Task,1,9453225,,,
Math Trial Start,42.36638760002097,,,,Math Task,1,9453225,,,
Choice presented,42.37460219999775,,,,Math Task,1,9453225,,,
Choice made,45.28170890000183,,,,Math Task,1,9453225,,,
Math Trial End,45.28176300000632,False,,,Math Task,1,9453225,,,
Math Trial Start,47.29706920002354,,,,Math Task,1,9453225,,,
Choice presented,47.3046368000214,,,,Math Task,1,9453225,,,
Choice made,50.20581830001902,,,,Math Task,1,9453225,,,
Math Trial End,50.20587090001209,False,,,Math Task,1,9453225,,,
Math Trial Start,52.22433200001251,,,,Math Task,1,9453225,,,
Choice presented,52.23476780002238,,,,Math Task,1,9453225,,,
Choice made,55.13624650001293,,,,Math Task,1,9453225,,,
Math Trial End,55.13629360002233,False,,,Math Task,1,9453225,,,
