EXPERIMENT DATA:,Friend Task
Start Time,22.307053199998336
Self_Task_Start,23.15485069999704,,,,Friend Task,1,1989864,,,
Start_of_self-reliant,25.74911519998568,,,,Friend Task,1,1989864,,,
End_of_self-reliant,25.74911519998568,,,,Friend Task,1,1989864,None,,
Start_of_unemotional,33.80506489999243,,,,Friend Task,1,1989864,,,
End_of_unemotional,33.80506489999243,,,,Friend Task,1,1989864,None,,
Start_of_unconventional,41.874019899987616,,,,Friend Task,1,1989864,,,
End_of_unconventional,41.874019899987616,,,,Friend Task,1,1989864,None,,
Start_of_observant,49.96548879999318,,,,Friend Task,1,1989864,,,
End_of_observant,49.96548879999318,,,,Friend Task,1,1989864,None,,
Start_of_noisy,58.03761500000837,,,,Friend Task,1,1989864,,,
End_of_noisy,58.03761500000837,,,,Friend Task,1,1989864,None,,
Start_of_cruel,66.1323485999892,,,,Friend Task,1,1989864,,,
End_of_cruel,66.1323485999892,,,,Friend Task,1,1989864,None,,
Start_of_indecisive,74.21739979999256,,,,Friend Task,1,1989864,,,
End_of_indecisive,74.21739979999256,,,,Friend Task,1,1989864,None,,
Start_of_boring,82.32058810000308,,,,Friend Task,1,1989864,,,
End_of_boring,82.32058810000308,,,,Friend Task,1,1989864,None,,
Start_of_unappreciative,90.40342889999738,,,,Friend Task,1,1989864,,,
End_of_unappreciative,90.40342889999738,,,,Friend Task,1,1989864,None,,
Start_of_relaxed,98.537962900009,,,,Friend Task,1,1989864,,,
End_of_relaxed,98.537962900009,,,,Friend Task,1,1989864,None,,
Start_of_trustful,106.67488299999968,,,,Friend Task,1,1989864,,,
End_of_trustful,106.67488299999968,,,,Friend Task,1,1989864,None,,
Start_of_polite,114.72972889998346,,,,Friend Task,1,1989864,,,
End_of_polite,114.72972889998346,,,,Friend Task,1,1989864,None,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,120.76045309999608
ESQ,10587.36367630001,,Other_start,,Experience Sampling Questions,1,1989864,,,Friend Task
ESQ,10589.07665599999,,Other_response,5.0,Experience Sampling Questions,1,1989864,,Marker Started at 5,Friend Task
ESQ,10589.077120700007,,Distracting_start,,Experience Sampling Questions,1,1989864,,,Friend Task
