 
Runtime Mod,-10
EXPERIMENT DATA:,Movie Task
Start Time,18.042486499994993
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,153.67393769999035
ESQ,249.02569480001694,,Future_response,7.0,Experience Sampling Questions,1,9453225,,Marker Started at 7,Movie Task
ESQ,250.05469919997267,,Deliberate_response,5.0,Experience Sampling Questions,1,9453225,,Marker Started at 5,Movie Task
 
Runtime Mod,-7
EXPERIMENT DATA:,Movie Task
Start Time,250.06795589998364
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,376.04477789998055
ESQ,3601.8037661999697,,Focus_response,10.0,Experience Sampling Questions,1,9453225,,Marker Started at 10,Movie Task
ESQ,3602.822733499983,,Absorption_response,3.0,Experience Sampling Questions,1,9453225,,Marker Started at 3,Movie Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Math Task
Start Time,3605.382847699977
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,3687.4100357000134
ESQ,3750.67356570001,,Detailed_response,2.0,Experience Sampling Questions,1,9453225,,Marker Started at 2,Math Task
ESQ,3751.6865413999767,,Focus_response,9.0,Experience Sampling Questions,1,9453225,,Marker Started at 9,Math Task
 
Runtime Mod,14
EXPERIMENT DATA:,Math Task
Start Time,3751.696407200012
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,3857.95531499997
ESQ,5642.118352399964,,Intrusive_response,4.0,Experience Sampling Questions,1,9453225,,Marker Started at 4,Math Task
ESQ,5649.9998604999855,,Modality_response,7.0,Experience Sampling Questions,1,9453225,,Marker Started at 7,Math Task
 
Runtime Mod,7
EXPERIMENT DATA:,Math Task
Start Time,5650.029990500014
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,5750.870667500014
ESQ,14092.300062900002,,Modality_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Math Task
ESQ,14093.334931799967,,Knowledge_response,6.0,Experience Sampling Questions,1,9453225,,Marker Started at 6,Math Task
 
Runtime Mod,6
EXPERIMENT DATA:,Math Task
Start Time,14093.357181400002
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,14193.93362289999
ESQ,15355.978810100001,,Intrusive_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Math Task
ESQ,15356.997872999986,,Future_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Math Task
 
Runtime Mod,13
EXPERIMENT DATA:,One-Back Task
Start Time,15359.356731500011
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,15464.373052200011
ESQ,16757.96804190002,,Distracting_response,10.0,Experience Sampling Questions,1,9453225,,Marker Started at 10,One-Back Task
ESQ,16758.98805709998,,Emotion_response,4.0,Experience Sampling Questions,1,9453225,,Marker Started at 4,One-Back Task
 
Runtime Mod,9
EXPERIMENT DATA:,One-Back Task
Start Time,16758.998040999984
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,16860.240917599993
ESQ,16958.1301218,,Intrusive_response,3.0,Experience Sampling Questions,1,9453225,,Marker Started at 3,One-Back Task
ESQ,16959.14413989999,,Past_response,5.0,Experience Sampling Questions,1,9453225,,Marker Started at 5,One-Back Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Zero-Back Task
Start Time,16959.153006799985
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,17042.750710199995
ESQ,17060.804975699983,,Emotion_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Zero-Back Task
ESQ,17061.840066400007,,Knowledge_response,2.0,Experience Sampling Questions,1,9453225,,Marker Started at 2,Zero-Back Task
 
Runtime Mod,10
EXPERIMENT DATA:,Zero-Back Task
Start Time,17061.849852500018
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,17163.4122586
ESQ,18651.433884900005,,Focus_response,3.0,Experience Sampling Questions,1,9453225,,Marker Started at 3,Zero-Back Task
ESQ,18652.44876910001,,Future_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Zero-Back Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Finger Tapping Task
Start Time,18655.108528100012
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,18815.086127699993
ESQ,19438.9114251,,Detailed_response,4.0,Experience Sampling Questions,1,9453225,,Marker Started at 4,Finger Tapping Task
ESQ,19440.290386700013,,Knowledge_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,Finger Tapping Task
 
Runtime Mod,12
EXPERIMENT DATA:,Finger Tapping Task
Start Time,19440.306965900003
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,19795.639531399996
ESQ,19948.488545899978,,Emotion_response,9.0,Experience Sampling Questions,1,9453225,,Marker Started at 9,Finger Tapping Task
ESQ,19949.509873099974,,Future_response,3.0,Experience Sampling Questions,1,9453225,,Marker Started at 3,Finger Tapping Task
 
Runtime Mod,-15
EXPERIMENT DATA:,GoNoGo Task
Start Time,19949.52121659997
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,20027.21940990002
ESQ,20471.126124500006,,Self_response,9.0,Experience Sampling Questions,1,9453225,,Marker Started at 9,GoNoGo Task
ESQ,20472.14107219997,,Past_response,10.0,Experience Sampling Questions,1,9453225,,Marker Started at 10,GoNoGo Task
 
Runtime Mod,7
EXPERIMENT DATA:,GoNoGo Task
Start Time,20472.153212199977
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,20572.150517200003
ESQ,21161.580625700008,,Other_response,8.0,Experience Sampling Questions,1,9453225,,Marker Started at 8,GoNoGo Task
ESQ,21162.60083740001,,Problem_response,2.0,Experience Sampling Questions,1,9453225,,Marker Started at 2,GoNoGo Task
 
Runtime Mod,-9
EXPERIMENT DATA:,You Task
Start Time,22531.068457100017
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,22612.907668299973
ESQ,22687.226211200003,,Self_response,9.0,Experience Sampling Questions,1,9453225,,Marker Started at 9,You Task
ESQ,22688.24118229997,,Future_response,2.0,Experience Sampling Questions,1,9453225,,Marker Started at 2,You Task
 
Runtime Mod,-9
EXPERIMENT DATA:,You Task
Start Time,22688.252000899985
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,22769.785909999977
ESQ,22809.630615699978,,Problem_response,4.0,Experience Sampling Questions,1,9453225,,Marker Started at 4,You Task
