Prompt
toast
bicycle
house
butterfly
book
butter
relative
college
bottle
mountain
pepper
airport
paper
party
potato
dress
door
salad
kitchen
fireplace
tablespoon
sunset
meeting
grass
lecture
meat
shoes
slipper
city
hug
ticket
cat
chair
stone
oven
baby
